UserID,Gender,Age,EstimatedSalary,Purchased
15791373,Male,60,42000,Purchased
15589449,Male,39,106000,Purchased
15692819,Female,57,26000,Purchased
15727467,Male,57,74000,Purchased
15734312,Male,38,71000,Not Purchased
15764604,Male,49,88000,Purchased
15613014,Female,52,38000,Purchased
15759684,Female,50,36000,Purchased
15609669,Female,59,88000,Purchased
15685536,Male,35,61000,Not Purchased
15750447,Male,37,70000,Purchased
15663249,Female,52,21000,Purchased
15638646,Male,48,141000,Not Purchased
15734161,Female,37,93000,Purchased
15631070,Female,37,62000,Not Purchased
15761950,Female,48,138000,Purchased
15649668,Male,41,79000,Not Purchased
15713912,Female,37,78000,Purchased
15586757,Male,39,134000,Purchased
15596522,Male,49,89000,Purchased
15625395,Male,55,39000,Purchased
15760570,Male,37,77000,Not Purchased
15566689,Female,35,57000,Not Purchased
15725794,Female,36,63000,Not Purchased
15673539,Male,42,73000,Purchased
15705298,Female,43,112000,Purchased
15675791,Male,45,79000,Not Purchased
15747043,Male,46,117000,Purchased
15736397,Female,58,38000,Purchased
15678201,Male,48,74000,Purchased
15720745,Female,37,137000,Purchased
15637593,Male,37,79000,Purchased
15598070,Female,40,60000,Not Purchased
15787550,Male,42,54000,Not Purchased
15603942,Female,51,134000,Not Purchased
15733973,Female,47,113000,Purchased
15596761,Male,36,125000,Purchased
15652400,Female,38,50000,Not Purchased
15717893,Female,42,70000,Not Purchased
15622585,Male,39,96000,Purchased
15733964,Female,38,50000,Not Purchased
15753861,Female,49,141000,Purchased
15747097,Female,39,79000,Not Purchased
15594762,Female,39,75000,Purchased
15667417,Female,54,104000,Purchased
15684861,Male,35,55000,Not Purchased
15742204,Male,45,32000,Purchased
15623502,Male,36,60000,Not Purchased
15774872,Female,52,138000,Purchased
15611191,Female,53,82000,Purchased
15674331,Male,41,52000,Not Purchased
15619465,Female,48,30000,Purchased
15575247,Female,48,131000,Purchased
15695679,Female,41,60000,Not Purchased
15713463,Male,41,72000,Not Purchased
15785170,Female,42,75000,Not Purchased
15796351,Male,36,118000,Purchased
15639576,Female,47,107000,Purchased
15693264,Male,38,51000,Not Purchased
15589715,Female,48,119000,Purchased
15769902,Male,42,65000,Not Purchased
15587177,Male,40,65000,Not Purchased
15814553,Male,57,60000,Purchased
15601550,Female,36,54000,Not Purchased
15664907,Male,58,144000,Purchased
15612465,Male,35,79000,Not Purchased
15810800,Female,38,55000,Not Purchased
15665760,Male,39,122000,Purchased
15588080,Female,53,104000,Purchased
15776844,Male,35,75000,Not Purchased
15717560,Female,38,65000,Not Purchased
15629739,Female,47,51000,Purchased
15729908,Male,47,105000,Purchased
15716781,Female,41,63000,Not Purchased
15646936,Male,53,72000,Purchased
15768151,Female,54,108000,Purchased
15579212,Male,39,77000,Not Purchased
15721835,Male,38,61000,Not Purchased
15800515,Female,38,113000,Purchased
15591279,Male,37,75000,Not Purchased
15587419,Female,42,90000,Purchased
15750335,Female,37,57000,Not Purchased
15699619,Male,36,99000,Purchased
15606472,Male,60,34000,Purchased
15778368,Male,54,70000,Purchased
15671387,Female,41,72000,Not Purchased
15573926,Male,40,71000,Purchased
15709183,Male,42,54000,Not Purchased
15577514,Male,43,129000,Purchased
15778830,Female,53,34000,Purchased
15768072,Female,47,50000,Purchased
15768293,Female,42,79000,Not Purchased
15654456,Male,42,104000,Purchased
15807525,Female,59,29000,Purchased
15574372,Female,58,47000,Purchased
15671249,Male,46,88000,Purchased
15779744,Male,38,71000,Not Purchased
15624755,Female,54,26000,Purchased
15611430,Female,60,46000,Purchased
15774744,Male,60,83000,Purchased
15629885,Female,39,73000,Not Purchased
15708791,Male,59,130000,Purchased
15793890,Female,37,80000,Not Purchased
15646091,Female,46,32000,Purchased
15596984,Female,46,74000,Not Purchased
15800215,Female,42,53000,Not Purchased
15577806,Male,41,87000,Purchased
15749381,Female,58,23000,Purchased
15683758,Male,42,64000,Not Purchased
15670615,Male,48,33000,Purchased
15715622,Female,44,139000,Purchased
15707634,Male,49,28000,Purchased
15806901,Female,57,33000,Purchased
15775335,Male,56,60000,Purchased
15724150,Female,49,39000,Purchased
15627220,Male,39,71000,Not Purchased
15672330,Male,47,34000,Purchased
15668521,Female,48,35000,Purchased
15807837,Male,48,33000,Purchased
15592570,Male,47,23000,Purchased
15748589,Female,45,45000,Purchased
15635893,Male,60,42000,Purchased
15757632,Female,39,59000,Not Purchased
15691863,Female,46,41000,Purchased
15706071,Male,51,23000,Purchased
15654296,Female,50,20000,Purchased
15755018,Male,36,33000,Not Purchased
15594041,Female,49,36000,Purchased
